ID_Compra;ID_Cliente;Idade;Sexo;Estado_Civil;Cidade;Regiao;Renda_Mensal;Tempo_Cliente_Anos;Canal;Produto;Categoria;Quantidade;Valor_Unitario;Desconto_%;Valor_Total;Forma_Pagamento;Cupom;Programa_Fidelidade;Avaliacao;Cancelou;Fraude;Mes;Data_Compra
1;C0122;38;F;Solteiro;Brasília;Centro-Oeste;20561;15;App;Cadeira Gamer;Móveis;4;1800;0;7200;Pix;Não;Sim;3;Não;Não;August;19/08/2025
2;C0012;70;M;Divorciado;Recife;Nordeste;8688;12;Loja;Smartphone;Telefonia;4;2800;20;8960;Cartão;Sim;Sim;2;Sim;Sim;October;03/10/2025
3;C0300;36;M;Solteiro;Curitiba;Sul;2610;11;Site;Smartwatch;Wearables;1;1600;0;1600;Pix;Não;Sim;4;Não;Não;August;06/08/2025
4;C0519;69;M;Casado;Curitiba;Sul;15561;15;Site;Notebook;Informática;2;4500;10;8100;Boleto;Sim;Não;5;Não;Não;December;10/12/2025
5;C0106;63;M;Casado;São Paulo;Sudeste;17597;7;App;Smartphone;Telefonia;4;2800;10;10080;Boleto;Sim;Não;5;Não;Não;May;09/05/2025
6;C0574;43;M;Divorciado;Fortaleza;Nordeste;14971;13;Loja;SSD 1TB;Armazenamento;1;650;0;650;Cartão;Não;Sim;4;Não;Não;September;25/09/2025
7;C0502;41;F;Casado;Fortaleza;Nordeste;17091;15;App;Headset;Informática;1;380;15;323;Pix;Sim;Sim;5;Não;Não;August;13/08/2025
8;C0706;63;M;Casado;São Paulo;Sudeste;15751;15;App;Monitor;Informática;4;1100;0;4400;Pix;Não;Sim;5;Não;Não;August;19/08/2025
9;C0015;23;F;Casado;Belém;Norte;21792;6;Loja;Cadeira Gamer;Móveis;1;1800;10;1620;Boleto;Sim;Não;5;Não;Não;July;02/07/2025
10;C0159;18;M;Divorciado;Fortaleza;Nordeste;6219;7;Site;Teclado;Informática;3;220;0;660;Boleto;Não;Sim;5;Não;Não;June;06/06/2025
11;C0520;44;M;Solteiro;Rio de Janeiro;Sudeste;14120;0;App;Smartwatch;Wearables;1;1600;10;1440;Cartão;Sim;Não;4;Não;Não;January;14/01/2025
12;C0027;50;M;Casado;Curitiba;Sul;16550;10;App;Webcam;Informática;4;260;5;988;Boleto;Sim;Não;3;Não;Não;April;16/04/2025
13;C0445;57;M;Casado;Rio de Janeiro;Sudeste;4077;12;Loja;Impressora;Informática;2;950;0;1900;Cartão;Não;Sim;5;Não;Não;November;25/11/2025
14;C0194;48;F;Solteiro;Rio de Janeiro;Sudeste;18736;4;Loja;Teclado;Informática;4;220;0;880;Cartão;Não;Sim;5;Não;Não;June;06/06/2025
15;C0192;40;F;Casado;Fortaleza;Nordeste;18105;13;Loja;Teclado;Informática;3;220;5;627;Boleto;Sim;Sim;4;Não;Não;May;21/05/2025
16;C0097;31;F;Solteiro;Belém;Norte;16680;10;Site;Impressora;Informática;2;950;20;1520;Boleto;Sim;Sim;3;Não;Não;December;18/12/2025
17;C0587;68;F;Solteiro;Curitiba;Sul;20012;6;Site;Cadeira Gamer;Móveis;3;1800;10;4860;Pix;Sim;Sim;5;Não;Não;August;12/08/2025
18;C0176;24;F;Casado;São Paulo;Sudeste;5283;10;Loja;Smartphone;Telefonia;3;2800;15;7140;Pix;Sim;Sim;3;Não;Não;July;30/07/2025
19;C0796;34;M;Solteiro;Manaus;Norte;4960;7;Loja;Notebook;Informática;1;4500;10;4050;Cartão;Sim;Sim;5;Não;Não;June;11/06/2025
20;C0799;47;F;Casado;Recife;Nordeste;21715;6;Site;Smartwatch;Wearables;1;1600;10;1440;Cartão;Sim;Não;5;Não;Não;July;19/07/2025
21;C0299;70;M;Solteiro;Brasília;Centro-Oeste;2575;9;App;SSD 1TB;Armazenamento;1;650;0;650;Pix;Não;Sim;4;Não;Não;October;05/10/2025
22;C0351;30;F;Divorciado;Belém;Norte;7112;3;Loja;Teclado;Informática;3;220;5;627;Cartão;Sim;Não;4;Não;Não;October;24/10/2025
23;C0130;40;M;Casado;Brasília;Centro-Oeste;9641;13;App;Teclado;Informática;2;220;5;418;Boleto;Sim;Sim;5;Não;Não;October;12/10/2025
24;C0407;34;F;Solteiro;Manaus;Norte;2343;8;Site;Headset;Informática;3;380;20;912;Pix;Sim;Sim;4;Não;Não;April;02/04/2025
25;C0567;20;M;Casado;Recife;Nordeste;3643;0;Site;Monitor;Informática;4;1100;10;3960;Boleto;Sim;Não;3;Não;Não;March;19/03/2025
26;C0764;43;M;Solteiro;Curitiba;Sul;13061;6;Site;Webcam;Informática;4;260;5;988;Boleto;Sim;Sim;5;Não;Não;June;09/06/2025
27;C0193;28;M;Solteiro;Fortaleza;Nordeste;1974;11;App;Headset;Informática;4;380;10;1368;Cartão;Sim;Sim;2;Sim;Não;October;07/10/2025
28;C0749;34;F;Divorciado;Belém;Norte;2401;6;App;Roteador;Redes;3;480;5;1368;Boleto;Sim;Não;4;Não;Não;November;26/11/2025
29;C0678;28;F;Solteiro;São Paulo;Sudeste;14553;10;Site;Monitor;Informática;1;1100;10;990;Cartão;Sim;Sim;3;Não;Não;June;01/06/2025
30;C0555;36;M;Solteiro;Brasília;Centro-Oeste;7983;0;App;Impressora;Informática;4;950;15;3230;Boleto;Sim;Não;4;Não;Não;March;29/03/2025
31;C0740;51;F;Solteiro;Recife;Nordeste;19465;4;Loja;Mouse;Informática;1;120;15;102;Boleto;Sim;Sim;4;Não;Não;March;20/03/2025
32;C0614;57;F;Solteiro;Belém;Norte;12491;15;Loja;Roteador;Redes;1;480;0;480;Cartão;Não;Sim;5;Não;Não;August;31/08/2025
33;C0511;25;F;Casado;Fortaleza;Nordeste;20979;11;Loja;Mouse;Informática;4;120;10;432;Pix;Sim;Sim;5;Não;Não;June;16/06/2025
34;C0443;50;M;Casado;Fortaleza;Nordeste;15007;10;Loja;Webcam;Informática;2;260;15;442;Cartão;Sim;Não;5;Não;Não;July;29/07/2025
